link,title,description,rarity,scarcity,price
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+748afe00-ef2d-4635-8276-d9f41795248c,PRECIOUS ACHIUWA,"Dunk - Dec 23 2020, Base Set (Series 2), MIA",Common,#/4000LE,$262.00
https://www.nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+ab7916c8-d954-422f-8e50-28d0358f1d22,CHRIS PAUL,"Dunk - Mar 7 2021, 2021 All-Star Game (Series 2), LBN",Rare,#/2021LE,$479.00
https://www.nbatopshot.com/listings/p2p/827f9328-03aa-4cb5-97cd-7b5f2c2386fd+c5477d5b-f8fc-4e68-b2cc-5c74aebb2b9b,TONY PARKER,"Jump Shot - Mar 8 2014, Run It Back (Series 1), SAS",Rare,#/275LE,"$5,800.00"
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+9816c38d-0783-44c9-82a3-7bcf32a8717b,STEPH CURRY,"Handles - Jan 20 2021, Base Set (Series 2), GSW",Common,#/35000+CC,$59.00
https://www.nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+003d6199-ac9c-4d70-98f2-e69895d5298d,NIKOLA VUČEVIĆ,"3 Pointer - Mar 7 2021, 2021 All-Star Game (Series 2), DRT",Rare,#/2021LE,$299.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+b3e0e414-3461-4e22-a2cd-fae4fcdd4527,DEVIN BOOKER,"3 Pointer - Feb 1 2021, Base Set (Series 2), PHX",Common,#/35000+CC,$18.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+08e89ae5-d3cb-4033-9f63-00f09cef699d,CALEB MARTIN,"Dunk - Jan 9 2021, Base Set (Series 2), CHA",Common,#/12000LE,$22.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+814bb4c8-4b32-4f0d-b9cb-fb75476167db,DELON WRIGHT,"Assist - Jan 10 2021, Base Set (Series 2), DET",Common,#/35000+CC,$13.00
https://www.nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+02d6f2ad-159e-4ee2-91cc-6a0c12a643c6,LUKA DONČIĆ,"Dunk - Mar 7 2021, 2021 All-Star Game (Series 2), LBN",Rare,#/2021LE,"$1,375.00"
https://www.nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+3c3aed0d-ec8c-4295-bcf8-b1887567606d,LEBRON JAMES,"Dunk - Mar 7 2021, 2021 All-Star Game (Series 2), LBN",Rare,#/2021LE,"$3,250.00"
https://www.nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+6bd6b2e2-ffb3-40ee-bd82-223c749df0bc,JAYSON TATUM,"Dunk - Mar 7 2021, 2021 All-Star Game (Series 2), DRT",Rare,#/2021LE,$435.00
