link,title,description,rarity,scarcity,price
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+94fb4073-e00f-4334-b15b-6e659f294c98,P.J. TUCKER,"3 Pointer - Jan 22 2021, Base Set (Series 2), HOU",Common,#/35000+CC,$9.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+69f7c907-9ed3-42f2-ba33-2fe4af9c4f58,JOEL EMBIID,"Jump Shot - Jan 20 2021, Base Set (Series 2), PHI",Common,#/35000+CC,$19.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+ce5b9ba2-d1dc-4b7f-a5d8-ccb1e02b068f,JAMES HARDEN,"Layup - Jan 16 2021, Base Set (Series 2), BKN",Common,#/35000+CC,$29.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+fc5a461e-2c14-45a5-b533-cce672c91bcb,KELLY OUBRE JR.,"Dunk - Dec 22 2020, Base Set (Series 2), GSW",Common,#/15000LE,$27.00
https://www.nbatopshot.com/listings/p2p/12a8288a-addc-4e5c-8af7-b3ba6e5161d4+2faa8899-3212-48b7-ae99-b56fb0f7d277,NORMAN POWELL,"Dunk - Jan 31 2020, Metallic Gold LE (Series 1), TOR",Rare,#/299LE,$930.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+da63b0c8-1a33-4392-b060-3aef4d8e156a,MALCOLM BROGDON,"3 Pointer - Jan 25 2021, Base Set (Series 2), IND",Common,#/35000+CC,$7.00
https://www.nbatopshot.com/listings/p2p/d2378dc1-1168-410b-893d-e084170a402e+f5d97929-1fb0-44c2-a8cd-3baad154cfaf,LEBRON JAMES,"Dunk - Aug 20 2020, First Round (Series 1), LAL",Rare,#/200LE,"$15,000.00"
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+ba70972f-224e-484c-bdd9-de72cdcac81e,MASON PLUMLEE,"Dunk - Jan 18 2021, Base Set (Series 2), DET",Common,#/35000+CC,$7.00
https://www.nbatopshot.com/listings/p2p/f493db4a-a775-4d6e-be8a-56fae509a92d+37b91d64-ea72-4e90-8fec-69b64e7a3911,MYCHAL MULDER,"Dunk - Feb 11 2021, Rising Stars (Series 2), GSW",Rare,#/2021LE,$497.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+620a2ccb-cb71-4c25-a324-5d8df3d9bd29,THADDEUS YOUNG,"Dunk - Jan 25 2021, Base Set (Series 2), CHI",Common,#/35000+CC,$6.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+1d75a267-3da9-4165-b3d5-42f2bd9631fb,OTTO PORTER JR.,"Jump Shot - Dec 31 2020, Base Set (Series 2), CHI",Common,#/15000LE,$13.00
https://www.nbatopshot.com/listings/p2p/12a8288a-addc-4e5c-8af7-b3ba6e5161d4+e2c09c0f-e04b-45db-9f5f-7cd0e6c5ed2b,LUKA DONČIĆ,"Dunk - Mar 11 2020, Metallic Gold LE (Series 1), DAL",Rare,#/299LE,"$17,895.00"
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+74ad4c27-5a68-42f6-b19b-b58fd7d3f635,DENNIS SCHRÖDER,"Layup - Dec 22 2020, Base Set (Series 2), LAL",Common,#/15000LE,$30.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+a3cd9d63-7ca6-41c6-b8ee-a10733d02a96,KYLE ANDERSON,"Dunk - Feb 1 2021, Base Set (Series 2), MEM",Common,#/35000+CC,$6.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e97d8f79-a17a-4cef-858f-f481ace3830d,DAMIAN LILLARD,"Handles - Jan 11 2021, Base Set (Series 2), POR",Common,#/15000LE,$60.00
