link,title,description,rarity,scarcity,price
https://www.nbatopshot.com/listings/p2p/708a6f60-5c93-406e-854f-50dd6734c0dd+ef08977c-3ba6-4280-ace2-de66934421f5,RUDY GOBERT,"Block - Jan 21 2021, Holo Icon (Series 2), UTA",Legendary,#/99LE,"$7,250.00"
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+abecc8f2-2ece-44ba-9fb6-527b5e5189bc,KAWHI LEONARD,"Block - Sep 7 2020, Base Set (Series 1), LAC",Common,#/3287LE,$498.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+64d777b4-7ed7-4244-aa5c-fb7979fad8cd,JAVALE MCGEE,"Dunk - Dec 26 2020, Base Set (Series 2), CLE",Common,#/15000LE,$13.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+3c9b5990-75d0-475c-a99c-413d33d800f7,GARY HARRIS,"Steal - Feb 25 2020, Base Set (Series 1), DEN",Common,#/3164LE,$104.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+c59a91b2-b49b-4e47-8003-805e2bf34105,JAYLEN BROWN,"Dunk - Aug 2 2020, Base Set (Series 1), BOS",Common,#/1000LE,"$1,199.00"
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+748afe00-ef2d-4635-8276-d9f41795248c,PRECIOUS ACHIUWA,"Dunk - Dec 23 2020, Base Set (Series 2), MIA",Common,#/4000LE,$244.00
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+9939a2dc-7c95-4c02-b747-9fee26c9d040,ZACH LAVINE,"3 Pointer - Nov 23 2019, Base Set (Series 1), CHI",Common,#/2799LE,$628.00
https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3f9adfce-6640-4394-9df6-b054143f332e,LONZO BALL,"3 Pointer - Jan 8 2021, Base Set (Series 2), NOP",Common,#/15000LE,$35.00
https://www.nbatopshot.com/listings/p2p/12a8288a-addc-4e5c-8af7-b3ba6e5161d4+03f80578-485e-48c2-982c-fc201f434791,MARKELLE FULTZ,"Dunk - Dec 20 2019, Metallic Gold LE (Series 1), ORL",Rare,#/299LE,"$1,199.00"
https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+1d307d9a-aed4-48cd-864a-7691c23f6025,BRUCE BROWN,"Dunk - Feb 23 2020, Base Set (Series 1), DET",Common,#/3339LE,$120.00
